timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371617038.35,0,60,60,0,4796931,5716736,7341568,2304256,14560768,5839360,4198912,15664640
1371617039.34,0,47,47,0,8562689,5522688,4392192,2754048,1516800,3868160,7668736,5571072
1371617040.33,0,57,34,0,16311306,7259393,5319680,2910720,14375680,10643968,12066304,7866112
1371617041.34,0,44,30,0,10100758,4187659,2082050,6860800,7877122,187392,13202688,1978112
1371617042.32,0,44,27,0,2523651,1395712,3085312,3934464,7804672,2038528,4522752,15139072
1371617043.32,0,43,40,0,8094229,7663107,7638272,9892608,6748928,15424768,11745536,16324352
1371617044.33,0,40,50,0,6748164,11305728,11088384,15745024,13970432,4725760,9966080,263680
1371617045.31,0,40,48,0,5174051,8354820,1801984,11297792,874240,1001728,4869376,2694400
1371617046.31,0,37,51,0,2065927,16250625,10126592,10860032,207361,1350400,11342592,15206912
1371617047.31,0,43,44,0,1320209,16297473,1971200,12803328,10145024,7028992,15622400,9181952
1371617048.3,0,38,26,0,1270531,14666756,12736512,3485440,11830784,4414720,1606144,2692352
1371617049.3,0,40,24,0,7852826,15144457,4145665,14043648,7904256,11907840,7213824,8722432
1371617050.29,0,26,21,0,10163459,6394368,10688512,2432512,8928256,13371648,1050368,11797760
1371617051.29,0,17,40,0,12166415,15275010,11011074,568832,9850112,5522432,10298624,10883584
1371617052.29,0,27,57,0,2466835,9814528,4884736,3883776,7563264,6506496,13048576,10356480
1371617053.28,0,38,78,0,6527796,14772993,9885441,10853376,2461696,372480,3751424,3021568
1371617054.28,0,47,84,0,11679505,5464577,12798464,7923456,5947904,10243072,11872256,6689792
1371617055.28,0,57,67,0,9450255,4931585,1989120,14881280,11627776,10375936,15149568,1118208
1371617056.27,0,70,60,0,9750530,2241536,12459264,6627328,4684288,9849088,15271936,8390400
1371617057.27,0,69,48,0,11035911,8420099,11368704,1770497,11040512,12423424,2497024,8195328
1371617058.27,0,75,34,0,1244421,16473858,4203008,5324800,11021312,14123776,9513472,7804160
1371617059.26,0,75,43,0,12367372,11073794,9100288,12091137,14860544,1833728,1321216,13311488
1371617060.25,0,60,38,0,570886,4851202,2307584,800768,3634944,10116352,7674112,16387584
1371617061.26,0,60,34,0,513537,2404864,9044992,15016960,15731712,7871488,9831424,16646656
1371617062.24,0,51,35,0,7498761,1651716,8281600,15095296,8154624,14574592,3806464,10880768
1371617063.25,0,48,17,0,10210306,988162,4536064,8656896,6902784,10639616,7740672,10424832
1371617064.25,0,48,34,0,4378884,15414529,13572864,2689281,4141824,7296512,10490880,12061696
1371617065.23,0,48,50,0,7441409,14359808,16132864,15209728,7085568,15010816,10814208,15992576
1371617066.24,0,53,67,0,9207302,9602561,15629569,2773760,493312,7104768,9508352,9244160
1371617067.24,0,43,78,0,15377674,3677186,13340928,16136704,6789120,4402432,15075584,134400
1371617068.22,0,47,78,0,5440263,9834497,1377537,10925824,4029696,12222464,9507072,3349248
1371617069.22,0,37,69,0,16458498,9379841,2583552,2039808,10292480,7411456,12912640,7078912
1371617070.21,0,34,60,0,3652610,4483330,9200128,13922560,2783232,3162880,1127168,4002304
1371617071.21,0,41,67,0,6803969,1647873,1433344,13512960,4613376,6311936,6888960,11801344
1371617072.21,0,40,56,0,4062976,6181120,11209728,2363648,15929856,15536128,1378304,3344384
1371617073.2,0,51,64,0,10319106,11803648,10496000,3221504,14034944,8458240,9309440,2361856
1371617074.2,0,67,56,0,11482116,4971520,15667968,4398080,6252544,8219392,13708032,5050624
1371617075.2,0,66,60,0,7139073,1320704,15867648,597248,12787712,9702400,1442816,13369600
1371617076.18,0,69,64,0,6792705,242688,15020032,10908928,4951296,8539136,73984,1446656
1371617077.19,0,74,53,0,3582209,2679552,8670464,9711616,5727232,8014336,9247488,15272960
1371617078.19,0,63,60,0,1609484,3459329,9125376,3624448,480256,3235840,142592,15602432
1371617079.18,0,66,60,0,12326147,5885440,15847680,10176256,16665600,2839296,4332288,1581568
1371617080.18,0,53,56,0,15941378,10531586,12819968,10055680,4505600,16599296,14948608,9177344
1371617081.17,0,44,63,0,7853576,3174144,5257472,12132096,12455424,790528,459776,328192
1371617082.16,0,48,69,0,168451,7815169,10731520,12853248,15752704,13398016,11281920,1774848
1371617083.17,0,47,50,0,3861504,2474500,9792000,2633472,3943936,11317248,5971456,462592
1371617084.17,0,47,57,0,2510336,3545089,14195968,13351424,7958784,9252096,14159616,1378048
1371617085.15,0,41,56,0,5028098,7258368,7028224,12008448,2300416,7868672,4326656,328704
1371617086.15,0,34,66,0,12490503,13286400,2466304,14253824,12860416,9449728,6821120,5051904
1371617087.15,0,27,83,0,5942530,14376961,13416960,1345024,9548288,11416576,5710848,9704448
1371617088.14,0,30,77,0,13481988,127233,13985792,12938752,13836544,4408832,7941376,6493440
1371617089.14,0,41,78,0,1191683,8435200,10671104,2377472,16486400,2246144,16650752,13635072
1371617090.13,0,30,81,0,6270470,4201217,4856066,563968,4428032,5713152,12786432,4663808
1371617091.13,0,38,75,0,717824,4089088,3677184,16057088,2754048,3805696,4195584,10618368
1371617092.13,0,27,67,0,1948444,1395203,9860352,16408320,10731520,11217408,3477760,265216
1371617093.12,0,14,61,0,7623681,1216768,7021824,13046528,15665408,2820096,852736,4457216
1371617094.12,0,35,40,0,1739777,4470786,15082752,11245568,2655488,2742272,6296832,1509120
1371617095.12,0,24,50,0,11045124,11115265,7576320,11708416,11352320,2566656,333568,14881792
1371617096.11,0,29,60,0,9950721,10124033,14824448,5630720,9011456,13837568,13575680,14944256
1371617097.11,0,40,69,0,15691009,4077568,939520,1313792,12590592,15470848,3933440,15270144
1371617098.11,0,24,80,0,2037763,14005248,2559744,298752,7499520,2168576,15538944,661504
1371617099.09,0,37,74,0,9334275,3558912,11865856,12260608,12261888,11081216,9438720,4195072
1371617100.09,0,44,80,0,3741441,5755904,16425984,7462912,8938240,8995840,11407872,1706240
1371617101.1,0,54,66,0,8357128,3420163,7080193,5724672,14590208,1142017,15732224,14423808
1371617102.08,0,47,64,0,4279825,6616834,13395968,14548224,5191936,13313536,13050880,2165504
1371617103.08,0,29,67,0,13441799,3719170,13111297,15499776,10378752,12134144,6430208,986880
1371617104.09,0,21,63,0,6535445,2833155,10724097,5091072,4996352,5527040,10883584,8525312
1371617105.07,0,14,83,0,6389505,4673792,11602689,11370240,16657664,3294208,4066304,7016192
1371617106.07,0,26,78,0,2092290,7838208,10168320,14222336,14422016,3281920,16450560,14811392
1371617107.07,0,30,84,0,5200386,9492481,5644033,4286209,10997760,9648128,16654080,10422272
1371617108.06,0,43,83,0,13326848,16247296,91904,11169024,13788672,12406784,9375744,6752256
1371617109.06,0,40,81,0,8990722,7809024,2172672,13263872,11737088,16322816,8585984,1114624
1371617110.05,0,29,91,0,3229698,12936451,3705345,12324353,5320704,2899200,13896704,1444864
1371617111.05,0,30,94,0,10038017,10266625,1431041,14334720,10108672,606464,11865600,14486016
1371617112.05,0,23,97,0,4680705,16111873,2104065,8293376,10703360,16208384,11149312,13305600
1371617113.04,0,21,91,0,13533194,4925697,6870272,10662912,4735232,11154944,8982528,15272448
1371617114.04,0,43,83,0,383745,10008576,16658176,2767616,2714624,16147456,5313536,3808000
1371617115.04,0,50,75,0,5777921,13310465,4596224,14366465,2416640,12602112,15142400,12388096
1371617116.03,0,54,78,0,9340416,583424,1880064,11472385,10183680,16275968,8393984,9573376
1371617117.03,0,61,81,0,15276832,4162048,3591168,2257408,1123328,9653760,11999488,4721408
1371617118.03,0,43,67,0,11035394,6235905,9311744,131840,8919296,986880,16254720,9961984
1371617119.01,0,53,61,0,2074369,8879616,1326592,5905664,4278784,7621376,5577984,7346432
1371617120.01,0,53,61,0,15601156,12351488,2602752,13517312,12209152,4140544,10620416,265216
1371617121.02,0,53,53,0,6846979,1029120,1253888,10446336,11410944,9516800,14814720,16256512
1371617122.0,0,69,69,0,6455041,15256832,8016384,2108416,5454848,4739328,3215616,8720384
1371617123.0,0,60,77,0,1112835,12273921,2470144,10058752,7572992,15486208,8065280,3998464
1371617124.0,0,56,67,0,13721606,3385601,15081473,11688704,1256193,6770176,12061440,855552
1371617124.99,0,57,70,0,12890880,4008192,3810560,7610112,2302464,16193024,8718592,12583424
1371617125.99,0,44,67,0,11207427,10744064,5120,9780224,661504,201728,10229248,13436672
1371617126.99,0,41,69,0,14740482,3118081,16514816,13597952,4279808,15094784,4135680,8983040
1371617127.98,0,47,60,0,14917377,16638209,1906176,2183680,10431744,8147712,15017216,11015168
1371617128.98,0,41,56,0,5662722,13503233,14724608,11014400,13320448,10108416,11012352,9045760
1371617129.97,0,41,50,0,5932050,12937729,9907200,6627072,16141056,10033664,13639168,2951936
1371617130.97,0,44,41,0,2860801,14365697,16675328,13443072,14718720,15876352,14031104,14682624
1371617131.97,0,48,57,0,3119879,1072384,4754432,15345408,7227136,5518592,9968128,2688768
1371617132.96,0,37,40,0,14622209,3034883,926976,16266752,15822336,16460032,4076032,10293248
1371617133.96,0,38,51,0,11238148,8457218,7066624,13867776,11488512,4341248,13766656,6427648
1371617134.96,0,41,60,0,14524694,8292096,14759680,12864512,10501376,2898176,12198144,9571584
1371617135.94,0,35,54,0,13007105,7431936,4075776,5640448,7083008,4919552,854016,13435904
1371617136.94,0,48,74,0,4493058,8275712,993024,13570560,14750976,1774592,984320,12387584
1371617137.94,0,47,63,0,7912707,2296067,92416,12077568,9911296,8599808,3088384,3610368
1371617138.93,0,50,56,0,12999171,6027008,5713408,4216832,5325312,11234304,4131840,11994624
1371617139.94,0,63,48,0,7787780,14497793,10814208,16476416,12529152,2396416,3024384,14947328
1371617140.93,0,81,50,0,11174656,9059584,9790464,14512128,9061376,385280,6033152,12192256
1371617141.92,0,94,56,0,7188230,9423616,7895552,10241024,5805824,14966016,14225408,2557440
