timestamp,poor_signal,attention,meditation,blink,delta,theta,alpha_low,alpha_high,beta_low,beta_high,gamma_low,gamma_mid
1371361022.16,25,0,0,0,3014656,786432,524288,196608,131072,65536,0,65536
1371361023.72,25,0,0,0,8858880,15664896,8323584,4064256,459520,7275008,7864576,11993344
1371361024.72,0,0,0,0,8010015,8586517,12456964,3504128,2144000,11626496,5527808,4348416
1371361025.71,0,0,0,0,970496,661760,133376,8589824,8784384,3212800,4719360,4719104
1371361026.71,0,0,0,0,8203264,12061952,5379072,3031552,14943232,3089152,12387840,8979968
1371361027.71,0,51,47,0,13075456,5975040,2362624,2440704,12847104,5774848,15205888,11339520
1371361028.7,0,61,48,0,15888135,14857984,13787648,12787968,3156992,3688704,16649728,12979200
1371361029.7,0,66,51,0,5337344,742400,4725248,13775360,16061696,5377792,6686720,329216
1371361030.7,0,75,44,0,1975553,7817216,9112832,7212800,4133376,10294528,7340800,9700608
1371361031.69,0,75,40,0,11091200,4071424,11474688,4724992,74240,267008,10291712,592896
1371361032.69,0,69,51,0,7351552,16592640,2244096,15869696,1444096,15340544,4459008,4195840
1371361033.69,0,75,56,0,8720384,1780224,8131840,10759424,5965824,9311744,7669248,7210240
1371361034.68,0,78,64,0,10430464,15868672,9243648,12656128,920064,1512960,11077632,6817280
1371361035.68,0,83,63,0,15149312,9578240,11798272,11150848,1186048,8070400,2953472,3212544
1371361036.68,0,80,47,0,2245376,11232512,7345920,7214592,12462080,6754048,11469824,4590336
1371361037.67,0,83,40,0,13523968,5056000,12195840,15534848,5180416,7476992,1835520,14092288
1371361038.67,0,80,35,0,4417792,15099392,14428672,4330752,4009216,11936512,4855296,10029312
1371361039.67,0,78,38,0,15545856,2427136,10490368,9569280,10489856,14617600,9964288,12387584
1371361040.65,0,87,40,0,9908992,7677440,4458752,1708032,5704448,3675392,4393472,7670016
1371361041.65,0,81,44,0,8133888,11815424,6044928,2888960,2952448,8917504,12192000,12191744
1371361042.64,0,74,53,0,9117696,16663040,9638144,6565632,1248512,4327680,5833728,2230272
1371361043.65,0,69,44,0,15270912,3306752,1581056,14684160,4460032,5841920,3278336,5703680
1371361044.65,0,67,44,0,15602944,11674368,12060928,1968896,14486528,724480,6947840,11339520
1371361045.63,0,74,40,0,8918784,4086016,9184256,12393216,14750208,10756352,11405312,13699072
1371361046.63,0,91,37,0,5451520,338688,11562496,12915712,15406592,9082624,5311744,12584192
1371361047.63,0,91,41,0,7737344,12787712,11077376,3150848,16321536,9441024,11012608,3016192
1371361048.62,0,88,43,0,340736,5588992,2036992,7411456,9640704,3674112,3411456,2950912
1371361049.62,0,91,48,0,14098944,5380352,3286528,4263424,460288,5579008,1905664,6293504
1371361050.62,0,77,29,0,5912832,7641856,11208960,2100992,12653312,4001792,3149312,1640704
1371361051.61,0,77,44,0,4794880,9179904,12925696,9914880,9905152,4990208,3840,16388096
1371361052.61,0,84,54,0,6112000,1967872,4132352,2956288,10358272,3085824,263680,263168
1371361053.61,0,87,53,0,1843968,791552,6828032,13112576,5509632,1129216,3738112,7865344
1371361054.6,0,88,74,0,284160,15682048,11404544,9721344,3872256,8852736,15992576,5835008
1371361055.6,0,78,56,0,8221697,2774273,7414528,14447616,4476672,10492928,9445632,11736064
1371361056.6,0,83,40,0,11144448,14428416,16584704,724224,15996672,212992,12190976,12190720
1371361057.58,0,83,40,0,2896384,5644032,11350784,14883328,3151616,3358720,9570816,919296
1371361058.59,0,94,40,0,2696192,3280128,13765888,10692096,15926784,7481344,1770496,7537664
1371361059.59,0,100,40,0,14503168,134144,4459520,10293504,9383936,15474944,11144960,2816
1371361060.58,0,100,63,0,4204544,15017216,5228544,10364416,13178112,4930048,11470080,9177088
1371361061.58,0,100,54,0,6563072,2627328,3805184,6166528,7805440,16273152,5506560,9177600
1371361062.56,0,100,54,0,8474368,7607040,4591872,7739136,15862272,13308160,8980480,7996928
1371361063.56,0,88,80,0,11540480,11537920,5987584,5646336,16059136,9572608,12326656,2099456
1371361064.56,0,91,67,0,6430976,12464896,13121024,4593408,13439232,10693632,12128000,9505280
1371361065.56,0,77,64,0,15750144,11431168,2888448,1776128,15937536,3086336,9244416,9047040
1371361066.55,0,78,61,0,6687744,3293440,15729920,6501888,9374720,2304000,3867904,3409408
1371361067.55,0,78,50,0,13247488,7886080,16715520,8623616,14944000,3613440,15207168,1050624
1371361068.54,0,78,48,0,16453120,1187840,2754304,662784,855808,4594432,3150848,4785664
1371361069.55,0,81,56,0,6691840,10563584,6364672,595712,12719872,3086848,5309952,1792
1371361070.54,0,90,51,0,3744768,919552,14747392,3936768,6626304,6561792,11275776,5376512
1371361071.53,0,93,53,0,11608320,16650240,6365440,10362112,7343616,9310720,10093568,10487296
1371361072.53,0,91,67,0,8859904,1116160,929280,12267776,4131584,13179392,4915712,10356224
1371361073.53,0,87,87,0,7878400,5182976,10960896,12730624,852992,9114880,4131328,14289152
1371361074.52,0,80,90,0,598528,8264448,7212032,6950400,15534080,7214336,16452864,13304832
1371361075.52,0,78,88,0,13243392,7414784,16596480,6556672,4786176,4526592,9898240,5440000
1371361076.52,0,83,74,0,13439232,14813440,5311488,14223104,7016192,4608,7144960,10225152
1371361077.51,0,87,70,0,8984064,13702656,3082752,14124288,5702912,15736320,11930368,1312512
1371361078.51,0,88,74,0,11946240,10627328,13056000,8591872,4923648,3489280,5900800,4653824
1371361079.51,0,90,60,0,10031872,15676928,4529152,8066816,11354368,1906688,4326912,12781312
1371361080.49,0,77,63,0,13306368,9134848,2497280,4081152,11077888,2364160,13699328,16517888
1371361081.49,0,74,56,0,6771712,9509632,4544256,15929088,3479040,14946304,14419712,7079936
1371361082.48,0,56,53,0,14933762,16594946,1160704,1006336,9384704,603392,333568,16060160
